34,Jul 09,Nicaragua,Managua,Managua,12.1364,-86.2514,1,6,57,0,48,0,8,2,8,1069,5742800,1000000,45,2,73,64,23,13,165,3,1,1,1,1,1,1,2,1,1,1,2,2,1,4,2,1,3,2,2,3,1,2,1,2,1,2,5,3,0,3,2,2,1,1,1,2,2,2,1,1.1/month,3,1,2,1,2,1,2,8,1,2,1,2,3,4,2,2,2,1,1,2,3,4,1,1,1,1,3,3,2,5,1,2,4,1,1,2,3,2,1,1,2,3,2,3,3,2,4,2,1,1,2,1,1,2,2,2,1,1,2,9999,9999,9999,9999,1,1,5,1,1,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,1,3,2,3,2,3,1,2,2,1,2,9,9,9,8,
35,Feb10,Nicaragua,Managua,Managua,12.1364,-86.2514,1,6,57,0,48,0,8,2,8,1069,5742800,1000000,46,0,73,64,23,13,165,3,1,1,1,1,1,1,2,1,1,1,2,2,1,4,2,1,3,2,2,3,1,2,1,2,1,2,5,3,0,3,2,2,1,1,1,2,2,2,1,1.1/month,3,1,2,1,2,1,2,8,1,2,1,2,3,4,2,2,2,1,1,2,3,4,1,1,1,1,3,3,2,5,1,2,4,1,1,2,3,2,1,1,2,3,2,3,3,2,4,2,1,1,2,1,1,2,2,2,1,1,2,9999,9999,9999,9999,1,1,5,1,1,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,1,3,2,3,2,3,1,2,2,1,2,9,9,9,8,
36,Jul 09,Nicaragua,Masaya,Masaya,11.9686,-86.0946,1,6,57,0,40,0,8,2,8,1069,5742800,92598,45,2,73,64,23,13,165,3,1,1,1,1,2,1,2,2,1,1,1,1,1,3,2,1,1,1,1,2,1,2,1,2,2,2,6,3,0,2,2,2,1,1,1,2,2,2,1,9999,3,2,2,1,6,1,1,8,1,1,1,2,3,1,6,2,1,2,1,2,3,4,1,3,1,1,3,3,2,5,1,2,4,1,1,2,3,2,1,1,2,3,2,2,2,2,4,2,1,1,1,1,1,2,2,2,1,1,2,9999,9999,9999,9999,2,2,5,1,1,3,4,3,3,3,3,3,2,3,2,2,3,2,3,3,3,2,3,2,2,2,3,2,3,1,2,2,1,2,9,9,7,8,
37,Jun10,Nicaragua,Masaya,Masaya,11.9686,-86.0946,1,6,57,0,40,0,8,2,8,1069,5742800,92598,46,0,73,64,23,13,165,3,1,1,1,1,2,1,2,2,1,1,1,1,1,3,2,1,1,1,1,2,1,2,1,2,2,2,6,3,0,2,2,2,1,1,1,2,2,2,1,9999,3,2,2,1,6,1,1,8,1,1,1,2,3,1,6,2,1,2,1,2,3,4,1,3,1,1,3,3,2,5,1,2,4,1,1,2,3,2,1,1,2,3,2,3,3,2,4,2,1,1,1,1,1,2,2,2,1,1,2,9999,9999,9999,9999,2,2,5,1,1,3,4,3,3,3,3,3,2,3,2,2,3,2,3,3,3,2,3,2,2,2,3,2,3,1,2,2,1,2,9,9,7,8,
38,Nov 09,Kenya,Rift Valley,Nakuru,-0.52833,36.0667,1,4,22,0,50,0,3,1,1,738,39802015,500000,69,0,54,48,53,33,371,7,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,4,1,2,1,1,1,2,1,2,7,7,1,3,2,1,1,1,2,1,2,2,1,1,88/month,4,2,2,2,6,1,1,9999,1,4,2,2,1,2,6,1,3,1,1,4,3,2,1,4,4,5,1,4,1,4,2,1,4,1,1,2,3,3,1,1,3,3,3,3,3,2,2,4,1,1,1,1,1,2,4,4,1,1,1,1,2,2,2,1,1,3,3,1,4,4,3,3,3,4,4,3,4,2,3,4,3,4,2,3,3,3,1,3,2,2,3,4,1,3,3,2,2,10,7,8,11
39,2011,Netherland,Gelderland,Nijmegen,51.8429,5.8546,3,4,82,1,50,10,5,6,2,47917,16531294,163000,497,1,80,73,8,3,68,5,9,1,1,1,1,1,1,1,1,5,4,5,5,5,5,5,5,5,5,9999,1,1,2,2,2,1,7,1,1,5,2,2,1,2,1,2,2,2,2,250 euro/year,4,2,2,2,9999,1,5,5,5,4,2,1,1,5,4,1,5,1,1,2,2,2,2,2,1,1,3,1,1,1,1,1,5,2,1,1,4,4,1,1,4,5,4,2,3,2,2,2,2,1,1,2,1,2,5,5,1,1,2,2,2,2,1,1,2,1,2,1,3,3,2,3,3,9999,3,3,3,1,3,3,3,3,2,3,3,2,9999,3,4,2,3,3,1,3,4,2,3,14,6,29,11,
40,2008,Suriname,Paramari,Paramari,5.8667,-55.1667,1,3,75,0,47,4,8,1,0,5888,515124,242946,2,9,69,61,30,12,174,9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,6,5,0,5,2,2,1,1,1,2,2,2,2,9999,3,2,3,1,6,1,1,15,1,1,1,2,3,2,6,2,2,2,2,2,1,2,2,3,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,1,2,2,2,1,1,1,4,1,2,1,1,1,2,2,2,2,1,1,2,9999,9999,9999,9999,2,2,5,2,2,2,2,4,2,1,2,2,1,1,2,2,2,2,2,5,1,1,3,2,1,1,3,1,1,1,1,1,1,3,7,4,6,4,,
41,2009,Suriname,Paramari,Paramari,5.8667,-55.1667,1,3,75,0,47,4,8,1,0,5888,519740,242946,2,9,69,61,30,12,174,9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,6,5,0,5,2,2,1,1,1,2,2,2,2,9999,3,2,3,1,6,1,1,15,1,1,1,2,3,2,6,2,2,2,2,2,1,2,2,3,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,1,2,2,2,1,1,1,4,1,2,1,1,1,2,2,2,2,1,1,2,9999,9999,9999,9999,2,2,5,2,2,2,2,4,2,1,2,2,1,1,2,2,2,2,2,5,1,1,3,2,1,1,3,1,1,1,1,1,1,3,7,4,6,4,,
42,1995,Ecuador,Tungurahua,Pillaro,-1.1,-78.32,1,5,66,0,50,2,0,2,7,1771,11406764,9530,40,6,71,9999,9999,9999,200,1,0,1,1,2,9999,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,6,3,0,4,2,2,1,1,2,2,2,2,2,9999,3,2,3,1,6,1,1,15,1,1,1,1,3,2,6,2,1,1,1,1,1,1,1,3,1,1,2,1,1,3,1,1,2,2,2,3,2,2,2,1,2,3,4,2,2,1,4,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,3,2,1,2,2,2,2,1,2,2,2,1,3,2,2,1,3,1,1,2,1,2,2,3,8,5,12,4,
43,Oct 09,South Afri,Gauten,Pretoria,-25.7313,28.2184,2,5,61,0,65,8,8,2,4,5786,49320150,1000000,40,2,51,48,33,20,520,5,4,1,1,1,1,1,2,1,1,3,3,3,3,4,4,2,1,1,1,2,1,1,1,2,2,1,7,5,0,5,2,2,1,1,1,2,2,2,2,9999,2,1,3,1,2,1,2,10,1,1,2,2,2,2,6,2,1,2,1,2,2,3,2,3,2,3,1,3,3,4,1,9999,3,1,2,2,3,3,1,1,3,3,2,2,2,2,4,2,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,3,4,2,2,3,2,1,2,2,3,3,2,2,3,2,1,3,2,2,2,3,2,3,1,1,2,1,2,10,7,18,7,
44,Dec 09,Philipines,Quezon City,Quezon City,14.6333,121.0333,1,6,65,0,67,0,8,1,4,1752,91983102,2680000,335,0,72,62,23,15,174,2,6,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,7,7,9999,2,2,1,1,2,1,2,1,1,1,9999,2,2,3,1,2,1,1,9999,2,2,2,2,2,5,3,2,2,1,1,2,3,3,1,2,3,3,3,4,4,3,1,1,5,1,1,9999,4,3,1,1,4,4,3,3,3,3,3,3,1,1,2,1,1,1,3,3,1,1,9999,9999,9999,9999,9999,1,1,2,2,1,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,1,3,2,2,3,3,1,3,3,1,2,13,8,12,10,
45,Feb11,Costa Rica,San Jose,San Jose,9.9333,-84.0833,1,3,63,1,10,1,8,2,7,6386,4578945,346298,80,9,79,69,13,7,97,5,0,1,1,1,1,1,2,1,1,2,2,2,2,3,3,1,4,4,2,3,1,1,1,2,2,2,7,2,0,5,2,2,1,2,1,2,2,2,2,740HH-3700com,3,2,2,2,6,1,4,12,1,1,1,1,2,5,4,2,4,1,1,2,2,4,1,2,3,2,1,3,3,1,1,2,5,1,1,1,4,4,1,1,3,4,4,2,2,2,9999,2,1,1,2,1,1,2,2,4,1,1,2,2,2,1,2,1,1,2,3,1,2,3,2,3,2,2,2,2,4,2,3,3,3,3,4,3,3,9999,1,3,2,2,1,3,1,2,3,2,2,12,9,12,9,
46,1991,Costa Rica,Limon,Talamanc,9.6303,-83.0147,1,3,63,0,30,1,1,2,7,2270,3155807,3235,61,7,76,9999,8,9,108,5,0,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,3,1,2,1,2,2,2,6,3,0,4,2,2,1,1,2,2,2,2,2,9999,3,2,3,2,6,1,1,10,1,1,1,2,3,1,6,2,1,2,2,1,2,2,2,3,3,1,2,2,2,3,1,2,2,2,2,3,2,2,2,1,2,3,2,2,2,1,4,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,3,1,2,3,2,1,1,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,1,2,2,1,2,8,4,8,7,
47,1992,Costa Rica,Puntaren,Tarcoles,9.773,-84.6296,1,3,63,0,30,1,2,2,7,2651,3233556,30000,63,2,76,9999,9,9,108,5,0,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,6,1,2,2,2,2,2,0,2,0,4,2,2,1,2,2,2,2,2,2,9999,2,2,3,2,6,1,1,12,1,1,1,2,3,1,6,2,1,2,2,1,2,2,1,3,3,1,2,1,2,3,1,2,2,2,2,3,2,2,2,1,2,3,2,2,2,1,4,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,1,2,2,1,2,8,5,6,7,
48,1995,Costa Rica,Puntaren,Tarcoles,9.773,-84.6296,1,3,63,0,50,1,2,2,7,3370,3478643,2930,67,8,77,9999,9,9,108,5,0,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,6,1,2,2,2,2,2,0,2,0,4,2,2,1,2,2,2,2,2,2,9999,2,2,3,2,6,1,1,12,1,1,1,2,3,1,6,2,1,2,2,1,2,2,1,3,3,1,2,1,2,3,1,2,2,2,2,3,2,2,2,1,2,3,2,2,2,1,4,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,1,2,2,1,2,8,5,6,7,
49,May10,Bhutan,Thimphu,Thimphu,27.4667,89.6417,3,2,35,0,54,0,9,0,8,1805,697335,100000,18,2,66,55,40,35,229,5,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,7,7,3,5,2,2,1,2,1,2,2,2,2,20-40Nu,3,2,2,1,6,2,2,12,1,2,2,2,1,1,2,2,1,1,1,2,2,3,1,2,2,2,3,1,1,4,1,1,4,1,1,1,3,3,2,1,3,3,3,3,3,2,2,2,1,1,1,1,1,1,2,4,1,1,1,1,2,2,1,2,2,2,1,1,2,3,2,4,3,1,3,2,3,1,3,3,3,2,4,4,2,3,2,2,2,1,3,3,1,2,2,1,2,10,8,7,8,
50,2001,Costa Rica,Cartago,Tuis,9.52,-83.55,1,3,63,0,30,1,4,2,7,4084,2510,2510,74,6,78,67,7,8,100,5,0,2,1,2,2,2,1,2,1,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,0,4,2,2,1,2,2,2,2,2,2,9999,2,2,2,2,6,1,1,20,1,1,1,4,3,2,6,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,3,2,2,2,1,2,2,2,2,1,1,4,1,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,1,1,1,2,7,4,9,4,
