dropoff_site,load_id,load_time,load_type,load_weight,report_date,route_number,route_type
Offinso Municipal,740,2011,GARBAGE COLLECTIONS,101806,2011,PAF09,GARBAGE COLLECTIONS
Afigya Kwabre,741,2011,RECYCLING - SINGLE STREAM,36013,2011,RHBU13,RECYCLING - SINGLE STREAM
Kwabre East,742,2011,RECYCLING - SINGLE STREAM,77964,2011,RTBS41,RECYCLING - SINGLE STREAM
Afigya Sekyere,743,2011,SWEEPING,18649,2011,SB88,SWEEPING
Mampong Municipal,744,2011,SWEEPING,137587,2011,SC16-R,SWEEPING
Sekyere East,745,2011,YARD TRIMMING,81998,2011,YH07,YARD TRIMMING
Sekyere Afram Plains,746,2011,GARBAGE COLLECTIONS,110204,2011,PW81,GARBAGE COLLECTIONS
Sekyere Central,747,2011,SWEEPING,111261,2011,NE04-R,SWEEPING
Ejura Sekye Dumasi,748,2011,GARBAGE COLLECTIONS,112080,2011,PAF82,GARBAGE COLLECTIONS
Offinso North,749,2011,GARBAGE COLLECTIONS,15148,2011,PW33,GARBAGE COLLECTIONS
Asunafo South,750,2011,GARBAGE COLLECTIONS,134761,2011,PH14,GARBAGE COLLECTIONS
Asunafo North Municipal,751,2011,GARBAGE COLLECTIONS,27794,2011,PM21,GARBAGE COLLECTIONS
Asutifi,752,2011,SWEEPING,6372,2011,SCSP00,SWEEPING
Dormaa Municipal,753,2011,GARBAGE COLLECTIONS,115023,2011,PH19,GARBAGE COLLECTIONS
Dormaa East,754,2011,GARBAGE COLLECTIONS,121910,2011,PAH04,GARBAGE COLLECTIONS
Tano South,755,2011,GARBAGE COLLECTIONS,139828,2011,PH21,GARBAGE COLLECTIONS
Tano North,756,2011,SWEEPING,29314,2011,SB121,SWEEPING
Sunyani Municipal,757,2011,BRUSH,16643,2011,BR03,BRUSH
Sunyani West,758,2011,RECYCLING - SINGLE STREAM,114211,2011,RMAU14,RECYCLING - SINGLE STREAM
Berekum Municipal,759,2011,GARBAGE COLLECTIONS,33046,2011,PAM60,GARBAGE COLLECTIONS
Jaman South,760,2011,SWEEPING,63509,2011,S22,SWEEPING
Jaman North,761,2011,BULK,83115,2011,BU11,BULK
Tain,762,2011,GARBAGE COLLECTIONS,59593,2011,PAM70,GARBAGE COLLECTIONS
Wenchi Municipal,763,2011,GARBAGE COLLECTIONS,104585,2011,PAH73,GARBAGE COLLECTIONS
Techiman Municipal,764,2011,YARD TRIMMING,10660,2011,YF09,YARD TRIMMING
Nkoranza South,765,2011,BULK,2303,2011,CAP-03,BULK
Nkoranza North,766,2011,GARBAGE COLLECTIONS,23058,2011,PAM83,GARBAGE COLLECTIONS
Atebubu Amantin,767,2011,GARBAGE COLLECTIONS,25517,2011,PAH80,GARBAGE COLLECTIONS
Sene,768,2011,BRUSH,123619,2011,BR06,BRUSH
Pru,769,2011,RECYCLING - COMINGLE,89755,2011,DF2,RECYCLING - COMINGLE
Kintampo South,770,2011,BULK,131161,2011,BU06,BULK
Kintampo North Municipal,771,2011,GARBAGE COLLECTIONS,87376,2011,PAW02,GARBAGE COLLECTIONS
Bole,772,2011,YARD TRIMMING,75709,2011,YT11,YARD TRIMMING
Sawla-Tuna-Kalba,773,2011,GARBAGE COLLECTIONS,101807,2011,PM34,GARBAGE COLLECTIONS
West Gonja,774,2011,GARBAGE COLLECTIONS,97074,2011,PW19,GARBAGE COLLECTIONS
Gonja Central,775,2011,RECYCLING - PAPER,24053,2011,RH02,RECYCLING - PAPER
East Gonja,776,2011,GARBAGE COLLECTIONS,56939,2011,PAF03,GARBAGE COLLECTIONS
Kpandai,777,2011,GARBAGE COLLECTIONS,77016,2011,PH12,GARBAGE COLLECTIONS
Nanumba South,778,2011,BRUSH,19818,2011,BR24,BRUSH
Nanumba North,779,2011,RECYCLING - SINGLE STREAM,140548,2011,RTBS30,RECYCLING - SINGLE STREAM
Zabzugu Tatali,780,2011,BRUSH,73007,2011,BR17,BRUSH
Yendi Municipal,781,2011,GARBAGE COLLECTIONS,81702,2011,PH10,GARBAGE COLLECTIONS
Tamale Metropolis,782,2011,RECYCLING - PAPER,16222,2011,RF13,RECYCLING - PAPER
Tamale South,783,2011,SWEEPING,27155,2011,NE10-R,SWEEPING
Tamale Central,784,2011,YARD TRIMMING,36084,2011,YH09,YARD TRIMMING
Tamale North,785,2011,GARBAGE COLLECTIONS,134690,2011,PAT85,GARBAGE COLLECTIONS
Tolon Kumbugu,786,2011,RECYCLING - COMINGLE,133731,2011,RM10,RECYCLING - COMINGLE
Savelugu Nanton,787,2011,YARD TRIMMING,34425,2011,YT05,YARD TRIMMING
Karaga,788,2011,SWEEPING,115461,2011,DSN03,SWEEPING
Gushiegu,789,2011,RECYCLING - SINGLE STREAM,10489,2011,RWBS42,RECYCLING - SINGLE STREAM
Saboba,790,2011,RECYCLING - SINGLE STREAM,42580,2011,RTAS42,RECYCLING - SINGLE STREAM
Chereponi,791,2011,BULK,61735,2011,BU02,BULK
Bunkpurugu Yonyo,792,2011,SWEEPING,107722,2011,DSS04,SWEEPING
Mamprusi East,793,2011,BRUSH,83786,2011,BR11,BRUSH
Mamprusi West,794,2011,YARD TRIMMING,15809,2011,YM02,YARD TRIMMING
Builsa,795,2011,GARBAGE COLLECTIONS,29220,2011,PAH04,GARBAGE COLLECTIONS
Kasena Nankana West,796,2011,GARBAGE COLLECTIONS,4245,2011,PAT64,GARBAGE COLLECTIONS
Kasena Nankana East,797,2011,RECYCLING - SINGLE STREAM,40156,2011,RMAU16,RECYCLING - SINGLE STREAM
Bolgatanga Municipal,798,2011,RECYCLING - PAPER,70601,2011,RW13,RECYCLING - PAPER
Talensi Nabdam,799,2011,GARBAGE COLLECTIONS,79423,2011,PAM80,GARBAGE COLLECTIONS
Bongo,800,2011,BRUSH,109963,2011,STOMAY15,BRUSH
Bawku West,801,2011,RECYCLING - SINGLE STREAM,91937,2011,RFAS43,RECYCLING - SINGLE STREAM
Garu Tempane,802,2011,RECYCLING - SINGLE STREAM,8614,2011,RFBU23,RECYCLING - SINGLE STREAM
Bawku Municipal,803,2011,GARBAGE COLLECTIONS,38739,2011,PAM74,GARBAGE COLLECTIONS
Wa West,804,2011,GARBAGE COLLECTIONS,8480,2011,PAW71,GARBAGE COLLECTIONS
Wa Municipal,805,2011,GARBAGE COLLECTIONS,115701,2011,PAT72,GARBAGE COLLECTIONS
Wa East,806,2011,RECYCLING - PAPER,92227,2011,RT06,RECYCLING - PAPER
Sissala East,807,2011,RECYCLING - PAPER,84866,2011,RW24,RECYCLING - PAPER
Nadowli,808,2011,BRUSH,86830,2011,BR17,BRUSH
Jirapa,809,2011,GARBAGE COLLECTIONS,27206,2011,PH33,GARBAGE COLLECTIONS
Sissala West,810,2011,SWEEPING,65916,2011,SDT01,SWEEPING
Lambussie Karni,811,2011,RECYCLING - SINGLE STREAM,31482,2011,RHAU15,RECYCLING - SINGLE STREAM
Lawra,812,2011,RECYCLING - PAPER,60312,2011,RT09,RECYCLING - PAPER
Jomoro,813,2012,SWEEPING,8715,2012,SDT01,SWEEPING
Ellembelle,814,2012,RECYCLING - PAPER,39892,2012,IRH1,RECYCLING - PAPER
Nzema East,815,2012,RECYCLING - SINGLE STREAM,68338,2012,RWAU21,RECYCLING - SINGLE STREAM
Ahanta West,816,2012,RECYCLING - SINGLE STREAM,41202,2012,RHAU13,RECYCLING - SINGLE STREAM
Sekondi Takoradi Metropolis,817,2012,BRUSH,79128,2012,BR17,BRUSH
Kwesimintsim,818,2012,GARBAGE COLLECTIONS,43300,2012,PAT67,GARBAGE COLLECTIONS
Takoradi,819,2012,GARBAGE COLLECTIONS,11443,2012,PAT72,GARBAGE COLLECTIONS
Sekondi,820,2012,GARBAGE COLLECTIONS,52388,2012,PAW75,GARBAGE COLLECTIONS
Essikadu-Ketan,821,2012,RECYCLING - COMINGLE,42209,2012,RW12,RECYCLING - COMINGLE
Shama,822,2012,GARBAGE COLLECTIONS,12620,2012,PH80,GARBAGE COLLECTIONS
Mpohor-Wassa East,823,2012,RECYCLING - COMINGLE,4471,2012,RF15,RECYCLING - COMINGLE
Tarkwa Nsuaem Municipal,824,2012,LITTER,51727,2012,SI01,LITTER
Prestea/Huni Valley,825,2012,GARBAGE COLLECTIONS,86872,2012,PF30,GARBAGE COLLECTIONS
Wassa Amenfi East,826,2012,YARD TRIMMING,23249,2012,YT03,YARD TRIMMING
Wassa Amenfi West,827,2012,GARBAGE COLLECTIONS,52535,2012,PW11,GARBAGE COLLECTIONS
Aowin/Suaman,828,2012,SWEEPING,30967,2012,SW10-R,SWEEPING
Sefwi Akontombra,829,2012,SWEEPING,23868,2012,SB46,SWEEPING
Sefwi Wiawso,830,2012,RECYCLING - PAPER,107003,2012,DW1,RECYCLING - PAPER
Sefwi Bibiani-Ahwiaso Bekwai,831,2012,GARBAGE COLLECTIONS,36725,2012,PAW52,GARBAGE COLLECTIONS
Juabeso,832,2012,GARBAGE COLLECTIONS,117601,2012,PAW81,GARBAGE COLLECTIONS
Bia,833,2012,RECYCLING - SINGLE STREAM,117978,2012,RMBU12,RECYCLING - SINGLE STREAM
Komenda,834,2012,YARD TRIMMING,71453,2012,OF-1,YARD TRIMMING
Cape Coast Metropolis,835,2012,DEAD ANIMAL,8027,2012,DA01,DEAD ANIMAL
Cape Coast South,836,2012,GARBAGE COLLECTIONS,45223,2012,PAH82,GARBAGE COLLECTIONS
Cape Coast North,837,2012,SWEEPING,78163,2012,E16-R,SWEEPING
Abura-Asebu-Kwamankese,838,2012,RECYCLING - PAPER,20184,2012,RH30,RECYCLING - PAPER
Mfantsiman Municipal,839,2012,RECYCLING - SINGLE STREAM,57273,2012,RTBU16,RECYCLING - SINGLE STREAM
Ajumako-Enyan-Essiam,840,2012,RECYCLING - SINGLE STREAM,119050,2012,RWBU14,RECYCLING - SINGLE STREAM
Gomoa West,841,2012,GARBAGE COLLECTIONS,45843,2012,PAM78,GARBAGE COLLECTIONS
Effutu Municipal,842,2012,RECYCLING - SINGLE STREAM,43976,2012,RWAU26,RECYCLING - SINGLE STREAM
Gomoa East,843,2012,BULK,25507,2012,BU09,BULK
Ewutu Senya,844,2012,SWEEPING,25662,2012,SDT01,SWEEPING
Agona East,845,2012,BULK,135549,2012,BU19,BULK
Agona West,846,2012,BRUSH,12270,2012,BR02,BRUSH
Brakwa,847,2012,GARBAGE COLLECTIONS,22643,2012,PM82,GARBAGE COLLECTIONS
Assin South,848,2012,RECYCLING - SINGLE STREAM,3464,2012,RHAU22,RECYCLING - SINGLE STREAM
Assin North Municipal,849,2012,GARBAGE COLLECTIONS,97062,2012,PAT78,GARBAGE COLLECTIONS
Twifo-Heman-Lower Denkyira,850,2012,GARBAGE COLLECTIONS,49977,2012,PAW75,GARBAGE COLLECTIONS
Upper Denkyira East Municipal,851,2012,YARD TRIMMING,137831,2012,YF09,YARD TRIMMING
Upper Denkyira West,852,2012,SWEEPING,64159,2012,SDT01,SWEEPING
Weija (Ga South) Municipal,853,2012,BULK,70491,2012,BU22,BULK
Ga West Municipal,854,2012,SWEEPING,141463,2012,SB08,SWEEPING
Ga East Municipal,855,2012,GARBAGE COLLECTIONS,57466,2012,PAH01,GARBAGE COLLECTIONS
Accra Metropolis,856,2012,SWEEPING,90054,2012,SW04-R,SWEEPING
Ablekuma South,857,2012,GARBAGE COLLECTIONS,41352,2012,PAM73,GARBAGE COLLECTIONS
Ablekuma Central,858,2012,BULK,1567,2012,BU10,BULK
Ashiedu Keteke,859,2012,BULK,67427,2012,BU19,BULK
Osu Klotey,860,2012,RECYCLING - SINGLE STREAM,57363,2012,RWBS43,RECYCLING - SINGLE STREAM
La,861,2012,DEAD ANIMAL,26329,2012,DA01,DEAD ANIMAL
Ayawaso East,862,2012,RECYCLING - COMINGLE,26998,2012,DT2,RECYCLING - COMINGLE
Ayawaso Central,863,2012,GARBAGE COLLECTIONS,115853,2012,PF81,GARBAGE COLLECTIONS
Okai Koi South,864,2012,GARBAGE COLLECTIONS,123908,2012,PF22,GARBAGE COLLECTIONS
Ablekuma North,865,2012,GARBAGE COLLECTIONS,112091,2012,PW81,GARBAGE COLLECTIONS
Okai Koi North,866,2012,GARBAGE COLLECTIONS,13396,2012,PAH06,GARBAGE COLLECTIONS
Ayawaso West Wogon,867,2012,SWEEPING,33707,2012,E21,SWEEPING
Adenta Municipal,868,2012,GARBAGE COLLECTIONS,37258,2012,PT31,GARBAGE COLLECTIONS
Ledzokuku/Krowor Municipal,869,2012,GARBAGE COLLECTIONS,48193,2012,PAH77,GARBAGE COLLECTIONS
Ashaiman Municipal,870,2012,SWEEPING,4141,2012,C14-R,SWEEPING
Tema Metropolis,871,2012,RECYCLING - COMINGLE,28194,2012,RT13,RECYCLING - COMINGLE
Tema West,872,2012,SWEEPING,100951,2012,SE10-R,SWEEPING
Tema East,873,2012,GARBAGE COLLECTIONS,55044,2012,PAF10,GARBAGE COLLECTIONS
Kpone Katamanso,874,2012,RECYCLING - SINGLE STREAM,11778,2012,DW4,RECYCLING - SINGLE STREAM
Dangbe West,875,2012,LITTER,16034,2012,KAB04,LITTER
Dangbe East,876,2012,RECYCLING - SINGLE STREAM,43762,2012,DF1,RECYCLING - SINGLE STREAM
South Tongu,877,2012,GARBAGE COLLECTIONS,65671,2012,PAH87,GARBAGE COLLECTIONS
Keta Municapal,878,2012,BULK,123595,2012,BU06,BULK
Ketu South,879,2012,GARBAGE COLLECTIONS,25775,2012,PAH64,GARBAGE COLLECTIONS
Ketu North,880,2012,RECYCLING - COMINGLE,126288,2012,RM14,RECYCLING - COMINGLE
Akatsi,881,2012,SWEEPING,37799,2012,W12-R,SWEEPING
North Tongu,882,2012,RECYCLING - SINGLE STREAM,49411,2012,RHAU13,RECYCLING - SINGLE STREAM
Adaklu Anyigbe,883,2012,BRUSH,14522,2012,BR01,BRUSH
Ho Municipal,884,2012,GARBAGE COLLECTIONS,7242,2012,PAF72,GARBAGE COLLECTIONS
South Dayi,885,2012,GARBAGE COLLECTIONS,118285,2012,PAH84,GARBAGE COLLECTIONS
North Dayi,886,2012,BRUSH,13895,2012,BR05,BRUSH
Hohoe Municipal,887,2012,RECYCLING - COMINGLE,39142,2012,RM02,RECYCLING - COMINGLE
Biakoye,888,2012,GARBAGE COLLECTIONS,86788,2012,PH10,GARBAGE COLLECTIONS
Jasikan,889,2012,GARBAGE COLLECTIONS,35396,2012,PT32,GARBAGE COLLECTIONS
Kadjebi,890,2012,GARBAGE COLLECTIONS,127098,2012,PAF04,GARBAGE COLLECTIONS
Krachi East,891,2012,GARBAGE COLLECTIONS,38082,2012,PAM64,GARBAGE COLLECTIONS
Krachi West,892,2012,YARD TRIMMING,4358,2012,YM01,YARD TRIMMING
Nkwanta South,893,2012,GARBAGE COLLECTIONS,92581,2012,PAH60,GARBAGE COLLECTIONS
Nkwanta North,894,2012,RECYCLING - COMINGLE,35557,2012,RF05,RECYCLING - COMINGLE
Birim South,895,2012,GARBAGE COLLECTIONS,131567,2012,PAW05,GARBAGE COLLECTIONS
Birim Municipal,896,2012,RECYCLING - SINGLE STREAM,47509,2012,RWBS35,RECYCLING - SINGLE STREAM
West Akim Municipal,897,2012,YARD TRIMMING,30273,2012,YW11,YARD TRIMMING
Suhum-Kraboa Coaltar,898,2012,GARBAGE COLLECTIONS,40978,2012,PAHCOM,GARBAGE COLLECTIONS
Akwapem South Municipal,899,2012,RECYCLING - COMINGLE,25359,2012,RT22,RECYCLING - COMINGLE
Akwapem North,900,2012,RECYCLING - SINGLE STREAM,12937,2012,RHBU25,RECYCLING - SINGLE STREAM
New Juaben Municipal,901,2012,RECYCLING - PAPER,116056,2012,RF33,RECYCLING - PAPER
Yilo Krobo,902,2012,GARBAGE COLLECTIONS,10449,2012,PAH87,GARBAGE COLLECTIONS
Lower Manya,903,2012,SWEEPING,31388,2012,E14-R,SWEEPING
Asuogyaman,904,2012,TIRES,35664,2012,BU02,TIRES
Upper Manya,905,2012,RECYCLING - SINGLE STREAM,47869,2012,RTBU14,RECYCLING - SINGLE STREAM
Fanteakwa,906,2012,YARD TRIMMING,29121,2012,YH02,YARD TRIMMING
East Akim Municipal,907,2012,YARD TRIMMING,79353,2012,YBM99,YARD TRIMMING
Kwaebibirem,908,2012,BRUSH,15950,2012,BR02,BRUSH
Akyem Mansa,909,2012,RECYCLING - COMINGLE,121607,2012,RH25,RECYCLING - COMINGLE
Birim North,910,2012,BULK,37012,2012,CAP-04,BULK
Atiwa,911,2012,GARBAGE COLLECTIONS,101552,2012,PM34,GARBAGE COLLECTIONS
Kwahu West Municipal,912,2012,GARBAGE COLLECTIONS,138092,2012,PAF72,GARBAGE COLLECTIONS
Kwahu South,913,2012,SWEEPING,18695,2012,SDT01,SWEEPING
Kwahu East,914,2012,GARBAGE COLLECTIONS,40484,2012,PAW04,GARBAGE COLLECTIONS
Kwahu North,915,2012,BRUSH,53561,2012,BR23,BRUSH
Atwima Mponua,916,2012,BRUSH,20164,2012,BR19,BRUSH
Amansie West,917,2012,GARBAGE COLLECTIONS,62057,2012,PAT71,GARBAGE COLLECTIONS
Amansie Central,918,2012,RECYCLING - SINGLE STREAM,16847,2012,RWBU20,RECYCLING - SINGLE STREAM
Adansi South,919,2012,GARBAGE COLLECTIONS,11755,2012,PAW73,GARBAGE COLLECTIONS
Obuasi Municipal,920,2012,BULK,43672,2012,BU10,BULK
Adansi North,921,2012,SWEEPING,13863,2012,SB14,SWEEPING
Bekwai Municipal,922,2012,RECYCLING - SINGLE STREAM,18796,2012,DH2,RECYCLING - SINGLE STREAM
Bosome Freho,923,2012,GARBAGE COLLECTIONS,37192,2012,PAT69,GARBAGE COLLECTIONS
Asante Akim South,924,2012,RECYCLING - SINGLE STREAM,44460,2012,RHBS33,RECYCLING - SINGLE STREAM
Asante Akim North Municipal,925,2012,YARD TRIMMING,135350,2012,YBM00,YARD TRIMMING
Ejisu Juaben Municipal,926,2012,GARBAGE COLLECTIONS,34397,2012,PAW79,GARBAGE COLLECTIONS
Bosumtwi,927,2012,RECYCLING - SINGLE STREAM,127199,2012,RMBU10,RECYCLING - SINGLE STREAM
Atwima Kwanwoma,928,2012,GARBAGE COLLECTIONS,118047,2012,PH12,GARBAGE COLLECTIONS
Kumasi Metropolis,929,2012,GARBAGE COLLECTIONS,3438,2012,PT39,GARBAGE COLLECTIONS
Kwadaso,930,2012,BRUSH,22035,2012,BR09,BRUSH
Nhyiaeso,931,2012,GARBAGE COLLECTIONS,9436,2012,PAT76,GARBAGE COLLECTIONS
Subin,932,2012,BULK,118444,2012,BU13,BULK
Asokwa,933,2012,BRUSH,38376,2012,BR20,BRUSH
Oforikrom,934,2012,GARBAGE COLLECTIONS,735,2012,PAH04,GARBAGE COLLECTIONS
Asawase,935,2012,BULK,10050,2012,BU19,BULK
Manhyia,936,2012,BRUSH,24197,2012,BR18,BRUSH
Old Tafo,937,2012,SWEEPING,115997,2012,NE16-R,SWEEPING
Suame,938,2012,RECYCLING - PAPER,95189,2012,IRW1,RECYCLING - PAPER
Bantama,939,2012,RECYCLING - SINGLE STREAM,12147,2012,RW02,RECYCLING - SINGLE STREAM
Atwima Nwabiagya,940,2012,YARD TRIMMING,33100,2012,YF07,YARD TRIMMING
Ahafo Ano South,941,2012,GARBAGE COLLECTIONS,7834,2012,PH30,GARBAGE COLLECTIONS
Ahafo Ano North,942,2012,GARBAGE COLLECTIONS,103467,2012,PH34,GARBAGE COLLECTIONS
Offinso Municipal,943,2012,BULK,2157,2012,BU11,BULK
Afigya Kwabre,944,2012,RECYCLING - PAPER,24188,2012,RH24,RECYCLING - PAPER
Kwabre East,945,2012,RECYCLING - SINGLE STREAM,14358,2012,RMAU23,RECYCLING - SINGLE STREAM
Afigya Sekyere,946,2012,RECYCLING - PAPER,60792,2012,DT2,RECYCLING - PAPER
Mampong Municipal,947,2012,YARD TRIMMING,89716,2012,YM07,YARD TRIMMING
Sekyere East,948,2012,BRUSH,6971,2012,BR14,BRUSH
Sekyere Afram Plains,949,2012,YARD TRIMMING,25390,2012,YM07,YARD TRIMMING
Sekyere Central,950,2012,RECYCLING - SINGLE STREAM,34489,2012,RFAU26,RECYCLING - SINGLE STREAM
Ejura Sekye Dumasi,951,2012,GARBAGE COLLECTIONS,26547,2012,PAH01,GARBAGE COLLECTIONS
Offinso North,952,2012,GARBAGE COLLECTIONS,64713,2012,PAF05,GARBAGE COLLECTIONS
Asunafo South,953,2012,RECYCLING - COMINGLE,54943,2012,RT05,RECYCLING - COMINGLE
Asunafo North Municipal,954,2012,YARD TRIMMING,26170,2012,YH09,YARD TRIMMING
Asutifi,955,2012,RECYCLING - PAPER,109007,2012,RH23,RECYCLING - PAPER
Dormaa Municipal,956,2012,GARBAGE COLLECTIONS,138242,2012,PAF71,GARBAGE COLLECTIONS
Dormaa East,957,2012,YARD TRIMMING,56705,2012,YT08,YARD TRIMMING
Tano South,958,2012,RECYCLING - COMINGLE,24268,2012,RT04,RECYCLING - COMINGLE
Tano North,959,2012,GARBAGE COLLECTIONS,96588,2012,PAT75,GARBAGE COLLECTIONS
Sunyani Municipal,960,2012,GARBAGE COLLECTIONS,26006,2012,PAW08,GARBAGE COLLECTIONS
Sunyani West,961,2012,RECYCLING - SINGLE STREAM,110468,2012,DM1,RECYCLING - SINGLE STREAM
Berekum Municipal,962,2012,LITTER,16755,2012,NR06,LITTER
Jaman South,963,2012,BULK,16616,2012,BU09,BULK
Jaman North,964,2012,YARD TRIMMING,2805,2012,YM07,YARD TRIMMING
Tain,965,2012,YARD TRIMMING,7571,2012,YM10,YARD TRIMMING
Wenchi Municipal,966,2012,GARBAGE COLLECTIONS,100841,2012,PT82,GARBAGE COLLECTIONS
Techiman Municipal,967,2012,RECYCLING - SINGLE STREAM,51007,2012,RHAU21,RECYCLING - SINGLE STREAM
Nkoranza South,968,2012,LITTER,36275,2012,NR05,LITTER
Nkoranza North,969,2012,SWEEPING,57429,2012,W15,SWEEPING
Atebubu Amantin,970,2012,RECYCLING - SINGLE STREAM,13568,2012,RMAU10,RECYCLING - SINGLE STREAM
Sene,971,2012,GARBAGE COLLECTIONS,141352,2012,PM32,GARBAGE COLLECTIONS
Pru,972,2012,GARBAGE COLLECTIONS,31860,2012,PAM81,GARBAGE COLLECTIONS
Kintampo South,973,2012,GARBAGE COLLECTIONS,109933,2012,PAT79,GARBAGE COLLECTIONS
Kintampo North Municipal,974,2012,GARBAGE COLLECTIONS,100668,2012,PAT08,GARBAGE COLLECTIONS
Bole,975,2012,SWEEPING,79313,2012,S37,SWEEPING
Sawla-Tuna-Kalba,976,2012,GARBAGE COLLECTIONS,13166,2012,PF81,GARBAGE COLLECTIONS
West Gonja,977,2012,GARBAGE COLLECTIONS,110872,2012,PM41,GARBAGE COLLECTIONS
Gonja Central,978,2012,GARBAGE COLLECTIONS,11805,2012,PW22,GARBAGE COLLECTIONS
East Gonja,979,2012,SWEEPING,53758,2012,SW03-R,SWEEPING
Kpandai,980,2012,SWEEPING,95281,2012,SW13-R,SWEEPING
Nanumba South,981,2012,YARD TRIMMING,41641,2012,OBH00,YARD TRIMMING
Nanumba North,982,2012,RECYCLING - SINGLE STREAM,48698,2012,RWAU20,RECYCLING - SINGLE STREAM
Zabzugu Tatali,983,2012,RECYCLING - SINGLE STREAM,56572,2012,RTBU26,RECYCLING - SINGLE STREAM
Yendi Municipal,984,2012,SWEEPING,20712,2012,SDT01,SWEEPING
Tamale Metropolis,985,2012,BRUSH,47723,2012,BR01,BRUSH
Tamale South,986,2012,RECYCLING - SINGLE STREAM,109608,2012,DM1,RECYCLING - SINGLE STREAM
Tamale Central,987,2012,YARD TRIMMING,29488,2012,YT10,YARD TRIMMING
Tamale North,988,2012,GARBAGE COLLECTIONS,63688,2012,PW10,GARBAGE COLLECTIONS
Tolon Kumbugu,989,2012,RECYCLING - COMINGLE,58828,2012,RT33,RECYCLING - COMINGLE
Savelugu Nanton,990,2012,GARBAGE COLLECTIONS,1022,2012,PH23,GARBAGE COLLECTIONS
Karaga,991,2012,RECYCLING - SINGLE STREAM,81821,2012,RWAU14,RECYCLING - SINGLE STREAM
Gushiegu,992,2012,GARBAGE COLLECTIONS,93101,2012,PF81,GARBAGE COLLECTIONS
Saboba,993,2012,GARBAGE COLLECTIONS,7022,2012,PAM09,GARBAGE COLLECTIONS
Chereponi,994,2012,GARBAGE COLLECTIONS,27283,2012,PH81,GARBAGE COLLECTIONS
Bunkpurugu Yonyo,995,2012,SWEEPING,24259,2012,E01,SWEEPING
Mamprusi East,996,2012,BRUSH,48695,2012,BR06,BRUSH
Mamprusi West,997,2012,RECYCLING - COMINGLE,58626,2012,DW3,RECYCLING - COMINGLE
Builsa,998,2012,RECYCLING - SINGLE STREAM,138090,2012,RTAS30,RECYCLING - SINGLE STREAM
Kasena Nankana West,999,2012,SWEEPING,104587,2012,C14-R,SWEEPING
Kasena Nankana East,1000,2012,RECYCLING - SINGLE STREAM,111848,2012,DW3,RECYCLING - SINGLE STREAM
Bolgatanga Municipal,1001,2012,GARBAGE COLLECTIONS,35310,2012,PAH71,GARBAGE COLLECTIONS
Talensi Nabdam,1002,2012,BULK,58644,2012,BU22,BULK
Bongo,1003,2012,RECYCLING - SINGLE STREAM,12474,2012,RWAU12,RECYCLING - SINGLE STREAM
Bawku West,1004,2012,GARBAGE COLLECTIONS,104989,2012,PAT71,GARBAGE COLLECTIONS
Garu Tempane,1005,2012,YARD TRIMMING,108722,2012,YBM99,YARD TRIMMING
Bawku Municipal,1006,2012,SWEEPING,16786,2012,W03-R,SWEEPING
Wa West,1007,2012,YARD TRIMMING,80709,2012,YF08,YARD TRIMMING
Wa Municipal,1008,2012,YARD TRIMMING,106071,2012,YH07,YARD TRIMMING
Wa East,1009,2012,RECYCLING - SINGLE STREAM,41092,2012,RHAU22,RECYCLING - SINGLE STREAM
Sissala East,1010,2012,RECYCLING - COMINGLE,22670,2012,DW3,RECYCLING - COMINGLE
Nadowli,1011,2012,BULK,9986,2012,BU11,BULK
Jirapa,1012,2012,GARBAGE COLLECTIONS,61006,2012,PW32,GARBAGE COLLECTIONS
Sissala West,1013,2012,GARBAGE COLLECTIONS,36055,2012,PM11,GARBAGE COLLECTIONS
Lambussie Karni,1014,2012,SWEEPING,65202,2012,SDT01,SWEEPING
Lawra,1015,2012,GARBAGE COLLECTIONS,34117,2012,PAT04,GARBAGE COLLECTIONS
Jomoro,1016,2004,GARBAGE COLLECTIONS,26411,2004,PW30,GARBAGE COLLECTIONS
Ellembelle,1017,2004,BRUSH,113623,2004,BR20,BRUSH
Nzema East,1018,2004,SWEEPING,35362,2004,DSE02,SWEEPING
Ahanta West,1019,2004,MIXED LITTER,140559,2004,SI21,MIXED LITTER
Sekondi Takoradi Metropolis,1020,2004,RECYCLING - SINGLE STREAM,106657,2004,RMAU24,RECYCLING - SINGLE STREAM
Kwesimintsim,1021,2004,RECYCLING - PAPER,36767,2004,IRH1,RECYCLING - PAPER
Takoradi,1022,2004,GARBAGE COLLECTIONS,29047,2004,PF21,GARBAGE COLLECTIONS
Sekondi,1023,2004,GARBAGE COLLECTIONS,119728,2004,PT35,GARBAGE COLLECTIONS
Essikadu-Ketan,1024,2004,RECYCLING - SINGLE STREAM,74984,2004,DF1,RECYCLING - SINGLE STREAM
Shama,1025,2004,BULK,140470,2004,BU19,BULK
Mpohor-Wassa East,1026,2004,YARD TRIMMING,116732,2004,YH10,YARD TRIMMING
Tarkwa Nsuaem Municipal,1027,2004,BULK,98749,2004,BU28,BULK
Prestea/Huni Valley,1028,2004,GARBAGE COLLECTIONS,20104,2004,PM33,GARBAGE COLLECTIONS
Wassa Amenfi East,1029,2004,YARD TRIMMING,3952,2004,YH02,YARD TRIMMING
Wassa Amenfi West,1030,2004,RECYCLING - SINGLE STREAM,2450,2004,RTAU20,RECYCLING - SINGLE STREAM
